Id,Title,Status,ViewCount,SubCount,Recommends,RecommendingChannels
UCT8ishmc98EOAG-TFo6f4ww,Jeff Taube,Ignored,10130875,7727,2,UCNBG27S1kuMrx0oO19QUMPA|UCp0hYYBW6IMayGgR-WeoCvQ
UCtCSIeGkQsSbg74yj0AHArQ,Nexus,Ignored,278385248,2050505,3,UCNBG27S1kuMrx0oO19QUMPA|UCBi2mrWuNuyYy4gbM6fU18Q|UCupvZG-5ko_eiXAupbDfxWw
UCTTQAOiR_0DuyQPZ6Dg-LHA,Talltanic,Influencer,789038270,2159576,10,UCNBG27S1kuMrx0oO19QUMPA|UCftwRNsjfRo08xYE31tkiyw|UCT3v6vL2H5HK4loLMc8pmCw|UC9RM-iSvTu1uPJb8X5yp3EQ|UCkQO3QsgTpNTsOw6ujimT5Q|UCmrLCXSDScliR7q8AxxjvXg|UCDow765I-QrmVp9Kfz0HqGA|UCgM3RQlf33iqqOLLlvr_6bw
UCNBG27S1kuMrx0oO19QUMPA,myworldisgettingdumber,Seed,43976589,136880,8,UCvixJtaXuNdMPUGdOPcY8Ag|UC1yBKRuGpC1tSM73A0ZjYjQ|UCf4FYTsGFFcdc68AUPIU3RA|UCgRvm1yLFoaQKhmaTqXk9SA|UCsGg9JQ4X7u2A6gCEmtVRmw|UCfdNM3NAhaBOXCafH7krzrA|UCHpw8xwDNhU9gdohEcJu4aA|UCIpwPuJsrboNnf200oV8cWQ
UCbKW7smxCcAvvatHJFLlIhw,News Be Funny,Ignored,279834859,437041,3,UCNBG27S1kuMrx0oO19QUMPA|UCeY0bbntWzzVIaj2z3QigXg|UCaWd5_7JhbQBe4dknZhsHJg
UC0Ize0RLIbGdH5x4wI45G-A,Drew Binsky,Ignored,37221294,336552,3,UCNBG27S1kuMrx0oO19QUMPA|UCfdNM3NAhaBOXCafH7krzrA
UCU0ZWl9lUxdwai_3NtAQjPw,DarthZox Gaming,Ignored,2884051,19440,1,UCNBG27S1kuMrx0oO19QUMPA
UCx3s3t5kpD4VMfJjDi5keXw,CoolHardLogic,Ignored,10115021,97963,1,UCNBG27S1kuMrx0oO19QUMPA
UC2RHXlrjvo6kmmXfdZ5t7NQ,Danny Oz,Ignored,1944497,742,5,UCNBG27S1kuMrx0oO19QUMPA
UCf6V5DZJsjnJd3N2uEkpGIg,VoysovReason,Ignored,4856267,22744,1,UCNBG27S1kuMrx0oO19QUMPA
UCDekW58nlMVJOS2FnW_12DA,tomjonessuperfan,Ignored,12287962,7561,2,UCzUV5283-l5c0oKRtyenj6Q|UCNBG27S1kuMrx0oO19QUMPA
UCPOe1Gujiyt-LeznMyE6tEg,Chodmunch,Ignored,26479699,47562,5,UCDmCBKaKOtOrEqgsL4-3C8Q|UCNBG27S1kuMrx0oO19QUMPA
UCNo4F3mz70-UqRbKwjRmRWg,Talk Heathen,Ignored,2926461,32776,3,UCNBG27S1kuMrx0oO19QUMPA|UCm5J1Fu_dHgBcMTpXu-NXUw
UChjUq7Hb1daBKfWEvE-rUEw,Beasty Reacts,Ignored,217438587,904758,1,UCNBG27S1kuMrx0oO19QUMPA
UCO2OY2HvoQjqhLxfDgI2zKQ,Something Special,Ignored,655924,1959,12,UCIveFvW-ARp_B_RckhweNJw|UCDgchsbJnrX604K-xWsd-fQ|UCNBG27S1kuMrx0oO19QUMPA|UCyVR2BXeEUvOpjAb4EUEgKg|UCa3meRxRwQrXg__x--Goxrg|UC7e57qWIEAZTQAaFwHpKdlw
UC7rXdy3dOinCLNpPjPkc8Kw,markksargent,Ignored,14347510,66482,1,UCNBG27S1kuMrx0oO19QUMPA
