FromVideoId,VideoId,FromChannelTitle,FromTitle,ChannelTitle,Title,FromChannelId,ChannelId,Rank,DistanceFromSeed
BoZvtKO46-s,3aOEZq-9vNg,Indigo Traveller,HOW EXPENSIVE IS BANGLADESH? 💰🇧🇩,Duroob دروب,دروب4 بنجلاديش 1 | Duroob4 Bangladesh 1,UCXulruMI7BHj3kGyosNa0jA,UC6lDy3DeOHEr4XDqaHzRiDQ,10,2
SaTI-0w0EC0,HkW205az1X0,The Economist,The struggles for independence and the impact of redrawing borders | The Economist,The Economist,Putin's games with the West | The Economist,UC0p5jTq6Xx_DosDFxVXnWaQ,UC0p5jTq6Xx_DosDFxVXnWaQ,1,2
P7_aKYU95jk,8sYlgDwufno,The Infographics Show,Who Will Be The Next Superpower Nation?,Foreigners Reaction,Foreigners Reacts to India- the Future Superpower is Reclaiming ll By Karolina,UCfdNM3NAhaBOXCafH7krzrA,UCXAPsqtjLDwhaOpqvRHtcUg,9,2
vebNxWGotC8,qd9oEhlyIKY,The Infographics Show,FBI vs CIA - How Do They Compare?,The Infographics Show,What Is The Deadliest Substance On Earth? Toxicity Comparison,UCfdNM3NAhaBOXCafH7krzrA,UCfdNM3NAhaBOXCafH7krzrA,7,2
4pYSVfAfoVw,TcPqnqdPCTs,The Young Turks,Awful CRTV Parody Fails To 'OWN THE LIBS',Roland S. Martin,Twitter Rips NBC's Megyn Kelly For Blackface Comments,UC1yBKRuGpC1tSM73A0ZjYjQ,UCjXB7nX8bL2U2sje8d212Yw,10,2
AxiHaqKxxiE,zXeVp6aNwwY,The Late Late Show with James Corden,None of the Above ft. Swedish Hero Pontus,The Tonight Show Starring Jimmy Fallon,Alicia Vikander Celebrates Sweden's Midsummer Holiday with Jimmy,UCJ0uqCI0Vqr2Rrt1HseGirg,UC8-Th83bH_thdKZDJCrn88g,5,2
dLYfwprjtog,Pr1D-HjSZ7Y,Saturday Night Live,Trump People's Court - SNL,Gabbee,Donald Trump vs. Jeb Bush | Presidential Debate Highlights,UCqFzWxSCi39LnW1JKFR3efg,UCCR19glb_uf1gAV5dtkfv5A,10,2
EvXROXiIpvQ,5w30XgACSAg,Vox,China's trillion dollar plan to dominate global trade,Vox,The royal weddings that shaped European history,UCLXo7UDZvByw2ixzpQCufnA,UCLXo7UDZvByw2ixzpQCufnA,1,2
Hq_mtm7opI4,3EhQoG0Epxg,The Late Show with Stephen Colbert,Trump Takes Credit For Releasing The JFK Files,Late Night with Seth Meyers,"Fox News Showers Trump with Praise, Obsesses Over Hillary: A Closer Look",UCMtFAi84ehTSYSE9XoHefig,UCVTyTA7-g9nopHeHbeuvpRA,4,2
ha66FfC-N18,fQh0CPNzSmY,RealLifeLore,Why Switzerland is the Safest Place if WW3 Ever Begins,RealLifeLore,What Would Happen If We Drained the Mediterranean Sea?,UCP5tjEmvPItGyLhmjdwP7Ww,UCP5tjEmvPItGyLhmjdwP7Ww,7,2
