"","FromChannelTitle","ChannelTitle","FromChannelId","ChannelId","Value"
"1","TED","TEDx Talks","UCAuUUnT6oDeKwE6v1NGQxug","UCsT0YIqwnpJCM-mx7-gSA4Q",44
"2","Good Morning Britain","This Morning","UCq18eeL7D9Vd8DhjMcLh9QQ","UChFsYLqPUyLiZnfRog6wiZA",33
"3","VICE","VICE News","UCn8zNIfYAQNdrFRrr8oibKw","UCZaT_X_mc0BI-djXOlfhqWQ",29
"4","VICE News","VICE","UCZaT_X_mc0BI-djXOlfhqWQ","UCn8zNIfYAQNdrFRrr8oibKw",29
"5","BuzzFeed News","BuzzFeedVideo","UCf4FYTsGFFcdc68AUPIU3RA","UCpko_-a4wgz2u_DgDgd9fqA",26
"6","Late Night with Seth Meyers","The Late Show with Stephen Colbert","UCVTyTA7-g9nopHeHbeuvpRA","UCMtFAi84ehTSYSE9XoHefig",25
"7","Jubilee","Cut","UCJjSDX-jUChzOEyok9XYRJQ","UCbaGn5VkOVlcRgIWAHcrJKA",24
"8","TheFallenState","Jesse Lee Peterson","UCLrVxw4H4ZJ3LovpdbzF7bw","UCOBNx5Pdw7FZkh2oQR3i9SQ",24
"9","mediamatters4america","Fox News","UC_70iWZ6ym2cglS_kv5YfmA","UCXIJgqnII2ZOINSWNOGFThA",23
"10","BuzzFeedVideo","The Try Guys","UCpko_-a4wgz2u_DgDgd9fqA","UCpi8TJfiA4lKGkaXs__YdBA",21
"11","The Ring of Fire","CNN","UCYWIEbibRcZav6xMLo9qWWw","UCupvZG-5ko_eiXAupbDfxWw",21
"12","The New York Times","ABC News","UCqnbDFdCpuN8CMEg0VuEBqA","UCBi2mrWuNuyYy4gbM6fU18Q",20
"13","BuzzFeedVideo","BuzzFeed Multiplayer","UCpko_-a4wgz2u_DgDgd9fqA","UCBUVGPsJzc1U8SECMgBaMFw",19
"14","Fox News","CNN","UCXIJgqnII2ZOINSWNOGFThA","UCupvZG-5ko_eiXAupbDfxWw",19
"15","Jon Snow - The Viral Network","CNN","UCOBDYfMV8ckXEUA5F_kixNQ","UCupvZG-5ko_eiXAupbDfxWw",19
"16","Jubilee","SoulPancake","UCJjSDX-jUChzOEyok9XYRJQ","UCaDVcGDMkvcRb4qGARkWlyg",19
"17","The Late Late Show with James Corden","The Tonight Show Starring Jimmy Fallon","UCJ0uqCI0Vqr2Rrt1HseGirg","UC8-Th83bH_thdKZDJCrn88g",19
"18","TheBlaze","Fox News","UCKgJEs_v0JB-6jWb8lIy9Xw","UCXIJgqnII2ZOINSWNOGFThA",19
"19","MSNBC","CNN","UCaXkIU1QidjPwiAYu6GcHjg","UCupvZG-5ko_eiXAupbDfxWw",18
"20","The Young Turks","CNN","UC1yBKRuGpC1tSM73A0ZjYjQ","UCupvZG-5ko_eiXAupbDfxWw",18
"21","Jimmy Kimmel Live","TheEllenShow","UCa6vGFO9ty8v5KZJXQxdhaw","UCp0hYYBW6IMayGgR-WeoCvQ",17
"22","TheFallenState","Get a Job","UCLrVxw4H4ZJ3LovpdbzF7bw","UC10c5BgJsUB_nLWx6pKG9yg",17
"23","TRUTHBOMBS","The Liberty Hound","UCYUS-7YqNQR31DEVoNDVNfg","UCsGg9JQ4X7u2A6gCEmtVRmw",17
"24","American Patriot","Fox News","UCG-k6xAc1QK8a9mjX2S1mNQ","UCXIJgqnII2ZOINSWNOGFThA",16
"25","Business Casual","ColdFusion","UC_E4px0RST-qFwXLJWBav8Q","UC4QZ_LsYcvcq7qOsOhpAX4A",16
"26","Fox Business","Fox News","UCCXoCcu9Rp7NPbTzIvogpZg","UCXIJgqnII2ZOINSWNOGFThA",16
"27","TheBlaze","CNN","UCKgJEs_v0JB-6jWb8lIy9Xw","UCupvZG-5ko_eiXAupbDfxWw",16
"28","True Liberty","The Liberty Hound","UCxB_r1u7WMBaSybUn84qewQ","UCsGg9JQ4X7u2A6gCEmtVRmw",16
"29","Ben Shapiro","The Daily Wire","UCnQC_G5Xsjhp9fEJKuIcrSw","UCaeO5vkdj5xOQHp4UmIN6dw",15
"30","Fox News Insider","Fox News","UCqlYzSgsh5jdtWYfVIBoTDw","UCXIJgqnII2ZOINSWNOGFThA",15
"31","PBS NewsHour","CNN","UC6ZFN9Tx6xh-skXCuRHCDpQ","UCupvZG-5ko_eiXAupbDfxWw",15
"32","TODAY","ABC News","UChDKyKQ59fYz3JO2fl0Z6sg","UCBi2mrWuNuyYy4gbM6fU18Q",15
"33","Nicki Swift","TheTalko","UC1DGpYiEiqBrQtYXFbLhMVQ","UC1Ydgfp2x8oLYG66KZHXs1g",14
"34","The Patriotic Report","The Liberty Hound","UCy-N04M3rGQMznjIv5g2LGQ","UCsGg9JQ4X7u2A6gCEmtVRmw",14
"35","Fox Business","CNN","UCCXoCcu9Rp7NPbTzIvogpZg","UCupvZG-5ko_eiXAupbDfxWw",13
"36","Full Frontal with Samantha Bee","The Late Show with Stephen Colbert","UC18vz5hUUqxbGvym9ghtX_w","UCMtFAi84ehTSYSE9XoHefig",13
"37","The Late Late Show with James Corden","TheEllenShow","UCJ0uqCI0Vqr2Rrt1HseGirg","UCp0hYYBW6IMayGgR-WeoCvQ",13
"38","CNN","TODAY","UCupvZG-5ko_eiXAupbDfxWw","UChDKyKQ59fYz3JO2fl0Z6sg",12
"39","Conservative Network","The Liberty Hound","UCyVR2BXeEUvOpjAb4EUEgKg","UCsGg9JQ4X7u2A6gCEmtVRmw",12
"40","myworldisgettingdumber","Jimmy Kimmel Live","UCNBG27S1kuMrx0oO19QUMPA","UCa6vGFO9ty8v5KZJXQxdhaw",12
"41","Rekt Feminist Videos","50 Shades","UCoNGo02Aai6VQotn-MNnbpw","UCa3meRxRwQrXg__x--Goxrg",12
"42","YAFTV","TRUTHBOMBS","UC4-AGCUwX7C-D4BsBook9fQ","UCYUS-7YqNQR31DEVoNDVNfg",12
"43","BuzzFeed News","BuzzFeed Multiplayer","UCf4FYTsGFFcdc68AUPIU3RA","UCBUVGPsJzc1U8SECMgBaMFw",11
"44","CasonVids","Dose of Dissonance","UC2-T6B6ql-KRQaFfZrboQrQ","UCv7bObYhwkJQM9dSelNbRNQ",11
"45","Jon Snow - The Viral Network","The Late Show with Stephen Colbert","UCOBDYfMV8ckXEUA5F_kixNQ","UCMtFAi84ehTSYSE9XoHefig",11
"46","Late Night with Seth Meyers","CNN","UCVTyTA7-g9nopHeHbeuvpRA","UCupvZG-5ko_eiXAupbDfxWw",11
"47","Late Night with Seth Meyers","Comedy Central UK","UCVTyTA7-g9nopHeHbeuvpRA","UCsv4YOF2RBYh0NQ1vuHQ-hg",11
"48","SomeBlackGuy","Chris Ray Gun","UC7e57qWIEAZTQAaFwHpKdlw","UCctjGdm2NlMNzIlxz02IsXA",11
"49","The Late Show with Stephen Colbert","The Tonight Show Starring Jimmy Fallon","UCMtFAi84ehTSYSE9XoHefig","UC8-Th83bH_thdKZDJCrn88g",11
"50","The Ring of Fire","MSNBC","UCYWIEbibRcZav6xMLo9qWWw","UCaXkIU1QidjPwiAYu6GcHjg",11
"51","The Tonight Show Starring Jimmy Fallon","TheEllenShow","UC8-Th83bH_thdKZDJCrn88g","UCp0hYYBW6IMayGgR-WeoCvQ",11
"52","50 Shades","SJWCentral","UCa3meRxRwQrXg__x--Goxrg","UC-jlxuVAVEl2PXTaGno7gSA",10
"53","BBC Newsnight","BBC News","UC6o-wWU-v2ClFMwougmK7dA","UC16niRr50-MSBwiO3YDb3RA",10
"54","BuzzFeedVideo","Tasty","UCpko_-a4wgz2u_DgDgd9fqA","UCJFp8uSYCjXOMnkUyb3CQ3Q",10
"55","DronetekPolitics","Fox News","UCavk8KLWg5sWuDGrNIiqZ4A","UCXIJgqnII2ZOINSWNOGFThA",10
"56","Looper","Screen Rant","UCP1iRaFlS5EYjJBryFV9JPw","UC2iUwfYi_1FCGGqhOUNx-iA",10
"57","mediamatters4america","CNN","UC_70iWZ6ym2cglS_kv5YfmA","UCupvZG-5ko_eiXAupbDfxWw",10
"58","PBS NewsHour","Fox News","UC6ZFN9Tx6xh-skXCuRHCDpQ","UCXIJgqnII2ZOINSWNOGFThA",10
"59","Real Time with Bill Maher","Leo Deki","UCy6kyFxaMqGtpE3pQTflK8A","UC9Gm9_USD9misw3FeKJ03ww",10
"60","Rekt Feminist Videos","SJWCentral","UCoNGo02Aai6VQotn-MNnbpw","UC-jlxuVAVEl2PXTaGno7gSA",10
"61","The Infographics Show","BRIGHT SIDE","UCfdNM3NAhaBOXCafH7krzrA","UC4rlAVgAK0SGk-yTfe48Qpw",10
"62","TODAY","OWN","UChDKyKQ59fYz3JO2fl0Z6sg","UCKBnlTTgEnhIXv_c4LvvyMQ",10
"63","Wendover Productions","RealLifeLore","UC9RM-iSvTu1uPJb8X5yp3EQ","UCP5tjEmvPItGyLhmjdwP7Ww",10
"64","50 Shades","Rekt Feminist Videos","UCa3meRxRwQrXg__x--Goxrg","UCoNGo02Aai6VQotn-MNnbpw",9
"65","American Patriot","CNN","UCG-k6xAc1QK8a9mjX2S1mNQ","UCupvZG-5ko_eiXAupbDfxWw",9
"66","AMTV","CNBC","UChD-zWutIego-bcHKOatFWA","UCvJJ_dzjViJCoLf5uKUTwoA",9
