"","Id","Title","Status","SubCount"
"1","UC4rlAVgAK0SGk-yTfe48Qpw","BRIGHT SIDE","Detected",18765349
"2","UC8-Th83bH_thdKZDJCrn88g","The Tonight Show Starring Jimmy Fallon","Detected",18662993
"3","UCJ0uqCI0Vqr2Rrt1HseGirg","The Late Late Show with James Corden","Seed",16479648
"4","UCa6vGFO9ty8v5KZJXQxdhaw","Jimmy Kimmel Live","Seed",13170454
"5","UCpVm7bg6pXKo1Pr6k5kxG9A","National Geographic","Detected",9693175
"6","UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","Seed",6842549
"7","UC3XTzVzaHQEd30rQbuvCtTQ","LastWeekTonight","Seed",6554213
"8","UClFSU9_bUb4Rc6OYfTt5SPw","Philip DeFranco","Seed",6321796
"9","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","Seed",5142331
"10","UCupvZG-5ko_eiXAupbDfxWw","CNN","Seed",5117108
"11","UCLXo7UDZvByw2ixzpQCufnA","Vox","Seed",4983302
"12","UC1yBKRuGpC1tSM73A0ZjYjQ","The Young Turks","Seed",4208829
"13","UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show with Trevor Noah","Seed",3874522
"14","UCzQUP1qoWDoEbmsQxvdjxgQ","PowerfulJRE","Seed",3870250
"15","UCZaT_X_mc0BI-djXOlfhqWQ","VICE News","Seed",3595942
"16","UC16niRr50-MSBwiO3YDb3RA","BBC News","Seed",3339590
"17","UCpwvZwUam-URkxB7g4USKpg","RT","Seed",3142636
"18","UCIveFvW-ARp_B_RckhweNJw","StevenCrowder","Seed",2960174
"19","UChi08h4577eFsNXGd3sxYhw","Breakfast Club Power 105.1 FM","Detected",2813038
"20","UCNye-wNBqNL5ZzHSJj3l8Bg","Al Jazeera English","Seed",2633555
"21","UCvK4bOhULCpmLabd2pDMtnA","Yes Theory","Detected",2614616
"22","UCKBnlTTgEnhIXv_c4LvvyMQ","OWN","Detected",2581745
"23","UCVTyTA7-g9nopHeHbeuvpRA","Late Night with Seth Meyers","Seed",2440400
"24","UCTTQAOiR_0DuyQPZ6Dg-LHA","Talltanic","Detected",2160520
"25","UCXIJgqnII2ZOINSWNOGFThA","Fox News","Seed",1970219
"26","UCgRvm1yLFoaQKhmaTqXk9SA","NowThis World","Seed",1913283
"27","UCZWlSUNDvCCS1hBiXV0zKcA","PragerU","Seed",1782922
