Id,Title,Type,LR
# ChannelId, Video title, TVNews (news published primarily for tv)|TVCommentary|News|Commentary, R (right) | L (left) | C (center) | PL (punching left)
# 200k+ subs & significant focus on US political/cultural commentary/contexualizing & not mainsteam news networks
#
# from channel crawler 200k+ subs in News/Politics/Activism categories
UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,Commentary,L
UCgRvm1yLFoaQKhmaTqXk9SA,NowThis,Commentary,L
UCzUV5283-l5c0oKRtyenj6Q,Mark Dice,Commentary,R
UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,Commentary,R
UCf4FYTsGFFcdc68AUPIU3RA,BuzzFeed News,News,L
UCJdKr0Bgd_5saZYqLCa9mng,The Rubin Report,Commentary,PL
UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,News,L
UCKZGcrxRAhdUi58Mdr565mw,TheAdviseShowTV,Commentary,R
UCDgchsbJnrX604K-xWsd-fQ,Hunter Avallone,Commentary,R
UChwwoeOZ3EJPobW83dgQfAg,WeAreChange,Commentary,R
UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Shown,Commentary,L
UCDmCBKaKOtOrEqgsL4-3C8Q,Blair White,Commentary,R
UC0uVZd8N7FfIZnPu0y7o95A,ReasonTV,Commentary,C
UCBDrbqudUtPUQxAK_K2JaNQ,Lisa Haven,Commentary,R
UCsGg9JQ4X7u2A6gCEmtVRmw,The Liberty Hound,Commentary,R
UCQcPBLsq9rRc5TxDqSz_Dog,The Black World,Commentary,L
UCLUrVTVTA3PnUFpYvpfMcpg,Lauren Chen,Commentary,R
UCrmm_7RDZJeQzq2-wvmjueg,The Real News,News,L
UCG749Dj4V2fKa143f8sE60Q,Tim Pool,Commentary,PL
UCYWIEbibRcZav6xMLo9qWWw,The Ring of Fire,Commentary,L
UC0RJJ_Wm7jyOU9eY10LgcwA,AdamKokesh,Commentary,L
UC7Edgk9RxP7Fm7vjQ1d-cDA,FeministFrequency,Commentary,L
#
# from https://blog.feedspot.com/political_youtube_channels/
#
UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,Commentary,L
UCIveFvW-ARp_B_RckhweNJw,Steven Crowder,Commentary,R
UCzIjg5vIfBGcdyLWu6lhXxw,Julie Borowski,Commentary,R
UCctjGdm2NlMNzIlxz02IsXA,Chris Ray Gun,Commentary,R
#
# 2018 viewcount search for Democrats|Republicans.
#
UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,TVCommentary,L
UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show with Trevor Noah,TVCommentary,L
UCZWlSUNDvCCS1hBiXV0zKcA,PragerU,Commentary,R
UCy6kyFxaMqGtpE3pQTflK8A,Real Time with Bill Maher,TVCommentary,L
UCVTyTA7-g9nopHeHbeuvpRA,Late Night with Seth Meyers,TVCommentary,L
UCeH6qE4V7n5tVwP7NkdrtJg,The View,TVCommentary,C
UCLXo7UDZvByw2ixzpQCufnA,Vox,Commentary,L
UCZNk7Jjb2t8EuBdgn4Zj1cw,No Bullshit,Commentary,R
#
# from crawl
#
UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight,TVCommentary,L
UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,TVCommentary,L
UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,Commentary,C
UCupvZG-5ko_eiXAupbDfxWw,CNN,TVNews,L
UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE,Commentary,C
UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,News,L
UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,TVNews,L
UCXIJgqnII2ZOINSWNOGFThA,Fox News,TVNews,R
UCczrL-2b-gYK3l4yDld4XlQ,RT America,TVNews,C
UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,TVNews,C
UCjXB7nX8bL2U2sje8d212Yw,Roland S. Martin,Commentary,L
UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,TVNews,L
UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,Commentary,L
UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,TVNews,L
UCeY0bbntWzzVIaj2z3QigXg,NBC News,TVNews,L
UCaeO5vkdj5xOQHp4UmIN6dw,The Daily Wire,Commentary,R
UCmhT57vCaS4kPIalY_rrysg,Political News Networks,Commentary,L
UCnxGkOGNMqQEUMvroOWps6Q,JRE Clips,Commentary,C
UCrm7RGOsstgF4qAG5mFGK-w,Joe Rogan University - Fan Channel,Commentary,C
UCK7tptUDHh-RYDsdxO1-5QQ,Wall Street Journal,News,R
UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,TVNews,L
UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,News,L
UCVSNOxehfALut52NbkfRBaA,VOA News,News,C
UCP6HGa63sBC7-KHtkme-p-g,USA TODAY,News,L
UCK0z0_5uL7mb9IjntOKi5XQ,The Atlantic,News,L
UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg,News,L
UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,News,C
UCdHkLMxTYwV66Sky1xXVrxQ,BBC America,TVNews,L
UCJg9wBPyKMNA5sRDnvzmkdg,FOX 10 Phoenix,TVNews,R
UCsD-Qms-AkXDrsU962OicLw,The New Yorker,News,L
UCldfgbzNILYZA4dmDt4Cd6A,Secular Talk,Commentary,L
UCGy6uV7yqGWDeUWTZzT3ZEg,Rebel Media,Commentary,R
UC18vz5hUUqxbGvym9ghtX_w,Full Frontal with Samantha Bee,TVCommentary,L
UCIZBXVGIJoJMXf8giib0IiQ,James Allsup,Commentary,R
UC8p1vwvWtl6T73JiExfWs1g,CBS News,TVNews,L
UCY0YIply-je0EhSWLgpftVw,BEME News,News,L
UCIpwPuJsrboNnf200oV8cWQ,Fleccas Talks,Commentary,R
UCmrLCXSDScliR7q8AxxjvXg,Black Pigeon Speaks,Commentary,R
UCZfsrIV68Oegr5bJgAMLBDA,HuffPost,News,L
UC0aVoboXBUx2-tVIWHc3W2Q,MILO,Commentary,R
UCB1o7_gbFp2PLsamWxFenBg,X22Report,Commentary,R
UCC3L8QaxqEGUiBC252GHy3w,Stefan Molyneux,Commentary,R
UC8bTQzxgvKkXDAaWkeuUlkg,Trevor Noah,TVCommentary,L
UCittVh8imKanO_5KohzDbpg,Paul Joseph Watson,Commentary,R
UCa3-BNaCeCvGSfhMuotYskg,Lionel Nation,Commentary,R
UCAhmDfQ1LfOYECmNNWgXJ7Q,David Icke,Commentary,R
UCJ7hqXLdgXlzjKpZY-K_6HA,Chelsea,Commentary,L
UCWq53_f3zgMcWuE-XFKSpyQ,PJ Media,Commentary,R
UC-yewGHQbNFpDrGM0diZOLA,Sargon of Akkad,Commentary,R
UCqlYzSgsh5jdtWYfVIBoTDw,Fox News Insider,TVNews,R
UCb--64Gl51jIEVE-GLDAVTg,C-SPAN,TVNews,C
UCLoNQH9RCndfUGOb2f7E1Ew,The Next News Network,Commentary,R
UC2nQYGjfe9I_tgWpqgJorUg,SGTreport,Commentary,R
UCNbIDJNNgaRrXOD7VllIMRQ,One America News Network,Commentary,R
UC7e57qWIEAZTQAaFwHpKdlw,SomeBlackGuy,Commentary,PL
UC0rZoXAD5lxgBHMsjrGwWWQ,Styxhexenhammer666,Commentary,R
UCxzcBfvmeLmUNjlyM7FMgFg,Larry King,Commentary,C
UCu8ebUHoKbhVY0tavNdhwvw,Anthony Brian Logan,Commentary,R
#
# From crawl, bellow 200k
#
UC-jlxuVAVEl2PXTaGno7gSA,SJWCentral,Commentary,R
UC7Q4rvzJDbHeBHYk5rnvZeA,The Humanist Report,Commentary,L
UCWXPkK02j6MHW-4xCJzgMuw,Golden State Times,News,R
UCuMo0RRtnNDuMB8DV5stEag,Rebel HQ,Commentary,L
UCKgJEs_v0JB-6jWb8lIy9Xw,TheBlaze,Commentary,R
UCw5pSFA1KVZJruigo_FVv2Q,OpenMind,Commentary,R
UClJ8Z0YvEm-ClFj3fdQgQkw,The Iconoclast,Commentary,R
UCtZIK88xkeTXf49BgVXs0HA,Trump Fan Network,Commentary,R
UCjo1uN-aM3rmBV46xj7l2KA,John Stossel,Commentary,R
UCeZ3rXtghQn72DPeeH4Tu7g,KGP TV,Commentary,R
UCe02lGcO-ahAURWuxAJnjdA,Timcast,Commentary,PL
UCUSySH2YjIwsDu2Hx6DWwTA,dollemore,Commentary,L
UCh2p1Pb4o-NXQsbL__ikakw,GLOBAL News,TVNews,L
UCwpDBy43upJR7LZLrgnKkPA,"Don't Walk, Run! Productions",Commentary,R
UCHkapYFq5ev4PDAxZQ_PF9Q,Skavlan,Commentary,R
UC7PfGhJXlJiDs4jvGGGgqsQ,StudioBrule,Commentary,R
UCu_u-P3cBFO7D-sAjxd_I-w,The Agenda with Steve Paikin,TVNews,C
UCJ-qLG1bdWVrHM-Hu2W73CQ,Operation Freedom,Commentary,R
UC4-AGCUwX7C-D4BsBook9fQ,YAFTV,Commentary,R
UCRPdcY4_Al8TrRtgkMzkrQQ,"Tony's - 24/7 Eyes",Commentary,L
UCMfKNuYXBc9bxb0fg2cGTBg,Tipping Point With Liz Wheeler on OAN,Commentary,R
UCDow765I-QrmVp9Kfz0HqGA,Florida Maquis,Commentary,C
UC7qCAvNXX0Pi05tufrDN0XQ,Adam Carolla,Commentary,R
UCVrK_pMRp_q8IelpfUCTGLQ,Turning Point USA,Commentary,R
UCK70NBiy-dXseWDTfWDIVlQ,Connors Conquest,Commentary,R
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,TVNews,L
UCLMjHGVwfhKfPVd2LarCAjw,David Heavener,Commentary,R
UCqxzXCQqNQ9wSwHPtZKHrlQ,Domination Station,Commentary,R
UCod8IyoN-ua9gDxlDpoEklQ,kytekuttertv,News,R
UCXyLkBdJzh3SfFw6GvHkXKw,Atheism-is-Unstoppable-2,Commentary,R
UC7K0wNhrt6fQdTj9zQQwLtw,The Josh Bernstein Show,Commentary,R
UCswrOzUxwh7O2mV52fmh8eA,Sir Sic The Social Inequality Crusader,Commentary,PL
UCyXhXAmTRVfeiD8JkWJ7Tzg,MeaningofLife.tv,Commentary,C
UCVEJKotFmyNRpnx9QEIlNqw,The Dishonoured Wolf,Commentary,PL
UC_qQ2_AVAh8pzj7yklimASQ,Kalvin Garrah,Commentary,PL
UC2TNY0ME37MkgM15RpORfIw,Rekt Idiots,Commentary,R
UCaFNs3ETMvkmy0JahAS6WJA,Logicked,Commentary,C
UCEL5udLvhpEOG8Lc9O-xbmQ,Metokurist Murdochian Archiver,Commentary,R
UC5ft8escJDZqT-QIWkHsImQ,Oof Curator,Commentary,R
UC1Y7SRZlf6BNmBPakawhLXA,Shmufkin TV,Commentary,R
UClFLXO6ecX-ucJp9gGJYiDw,Counter Arguments,Commentary,C
UC7SeFWZYFmsm1tqWxfuOTPQ,Count Dankula,Commentary,R
UCQZdMTHwIw_fZRk0wI8oqkQ,Dismantle The Matrix,Commentary,R
UCfI7lYIToulrt868GBLHn7Q,MNN NYC,Commentary,L
#
# data & society report. Only included those that are active on YouTube
#
UC2h3yPmh9TfQv2z3aTDTHHA,Andywarski,Commentary,R
UCka_dz0F1gYuvN8LTefNcJQ,Bunty King,Commentary,PL
UCZeP6H2mELnRI9imY5Iga0g,Ayla Stewart Wife with a Purpose,Commentary,R
UCesrUK_dMDBZAf7cnjQPdgQ,Brittany Pettibone,Commentary,R
UCFpvg5yg5fMda91yiI1owSQ,Caolan Robertson,Commentary,R
UCpiCH7qvGVlzMOqy3dncA5Q,The Thinkery,Commentary,R
UC5tEELgWBfKbA9fVPRzBzPQ,Coach Red Pill,Commentary,R
UCT9D87j5W7PtE7NHOR5DUOQ,Computing Forever,Commentary,R
UClMWnUHbxJKJLUgloN1mPUA,Faith J Goldy,Commentary,R
UCFUC7NaTxZanB_FVOJN92eg,Red Ice TV,Commentary,R
UCL9PlYkRD3Q-RZca6CCnPKw,Project Veritas,Commentary,R
UCEE8w-v6Gg4j3ze3oX-urEw,Project Veritas Action,Commentary,R
UCMLbmp5tcLxzahMLTmeM4lg,American Renaissance,Commentary,R
UCowcNKm1w2GGw5U_XQeduhg,Jean-Francois Gariépy,Commentary,R
UCAldq8BAAGdsX9UyK_09-ZA,Jeff Holiday,Commentary,PL
UC87YBeLMwXhgaw5tcCxsXgQ,Mike Cernovich,Commentary,R
UCLfhh63n0fWn0gXXKQ5NWvw,Millennial Woes,Commentary,R
UCfYbb7nga6-icsFWWgS-kWw,Mister Metokur,Commentary,R
UCKEt1xKVBLuL175dkk8rqLg,Mouthy Buddha,Commentary,R
UCsJ86N5n7fcEC_Ds8dYJKzA,America First with Nicholas J Fuentes,Commentary,R
UCyQsQSKayfcZoHaCjqxxSlg,Owen Benjamin,Commentary,PL
UC554eY5jNUfDq3yDOJYirOQ,Destiny,Commentary,L
