"","Id","Title","Status","SubCount","ChannelVideoViews","Type","LR"
"1","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","Seed",5142331,87055933,"TVCommentary","L"
"2","UCa6vGFO9ty8v5KZJXQxdhaw","Jimmy Kimmel Live","Seed",13170454,83082931,"TVCommentary","L"
"3","UCupvZG-5ko_eiXAupbDfxWw","CNN","Seed",5117108,78937870,"TVNews","L"
"4","UCXIJgqnII2ZOINSWNOGFThA","Fox News","Seed",1970219,54427567,"TVNews","R"
"5","UCnxGkOGNMqQEUMvroOWps6Q","JRE Clips","Seed",1048536,43999084,"Commentary","PL"
"6","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC","Seed",1275666,39322957,"TVNews","L"
"7","UC1yBKRuGpC1tSM73A0ZjYjQ","The Young Turks","Seed",4208829,32106770,"Commentary","L"
"8","UCzQUP1qoWDoEbmsQxvdjxgQ","PowerfulJRE","Seed",3870250,23543975,"Commentary","C"
"9","UCVTyTA7-g9nopHeHbeuvpRA","Late Night with Seth Meyers","Seed",2440400,23527671,"TVCommentary","L"
"10","UClFSU9_bUb4Rc6OYfTt5SPw","Philip DeFranco","Seed",6321796,22722017,"Commentary","C"
"11","UCeY0bbntWzzVIaj2z3QigXg","NBC News","Seed",915364,20051984,"TVNews","L"
"12","UCeH6qE4V7n5tVwP7NkdrtJg","The View","Seed",556120,16586051,"TVCommentary","C"
"13","UCLoNQH9RCndfUGOb2f7E1Ew","The Next News Network","Seed",784701,16374483,"Commentary","R"
"14","UCaeO5vkdj5xOQHp4UmIN6dw","The Daily Wire","Seed",1020445,14814174,"Commentary","R"
"15","UCNye-wNBqNL5ZzHSJj3l8Bg","Al Jazeera English","Seed",2633555,13444453,"TVNews","L"
"16","UCIveFvW-ARp_B_RckhweNJw","StevenCrowder","Seed",2960174,13371777,"Commentary","R"
"17","UCLXo7UDZvByw2ixzpQCufnA","Vox","Seed",4983302,11766754,"Commentary","L"
"18","UCZWlSUNDvCCS1hBiXV0zKcA","PragerU","Seed",1782922,9947283,"Commentary","R"
"19","UCh2p1Pb4o-NXQsbL__ikakw","GLOBAL News","Seed",77666,8875965,"TVNews","L"
"20","UC0rZoXAD5lxgBHMsjrGwWWQ","Styxhexenhammer666","Seed",302146,7752915,"Commentary","R"
"21","UCy6kyFxaMqGtpE3pQTflK8A","Real Time with Bill Maher","Seed",1498996,7400580,"TVCommentary","L"
"22","UCe02lGcO-ahAURWuxAJnjdA","Timcast","Seed",103792,7011321,"Commentary","PL"
"23","UCZaT_X_mc0BI-djXOlfhqWQ","VICE News","Seed",3595942,6964327,"News","L"
"24","UCzUV5283-l5c0oKRtyenj6Q","Mark Dice","Seed",1360622,6893011,"Commentary","R"
"25","UCK7tptUDHh-RYDsdxO1-5QQ","Wall Street Journal","Seed",1101889,6880716,"News","R"
"26","UCmhT57vCaS4kPIalY_rrysg","Political News Networks","Seed",0,6157778,"Commentary","L"
"27","UCP6HGa63sBC7-KHtkme-p-g","USA TODAY","Seed",769036,6062418,"News","L"
"28","UCrm7RGOsstgF4qAG5mFGK-w","Joe Rogan University - Fan Channel","Seed",334088,5687825,"Commentary","PL"
"29","UCKZGcrxRAhdUi58Mdr565mw","TheAdviseShowTV","Seed",910708,5597492,"Commentary","R"
"30","UCYWIEbibRcZav6xMLo9qWWw","The Ring of Fire","Seed",254970,5555908,"Commentary","L"
"31","UCB1o7_gbFp2PLsamWxFenBg","X22Report","Seed",248412,5408637,"Commentary","R"
"32","UCldfgbzNILYZA4dmDt4Cd6A","Secular Talk","Seed",601581,5402356,"Commentary","L"
"33","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","Seed",890357,5189616,"TVNews","C"
"34","UC-3jIAlnQmbbVMV6gR7K8aQ","The Majority Report w/ Sam Seder","Seed",402325,4900830,"Commentary","L"
"35","UCGy6uV7yqGWDeUWTZzT3ZEg","Rebel Media","Seed",1077276,4697268,"Commentary","R"
"36","UCjXB7nX8bL2U2sje8d212Yw","Roland S. Martin","Seed",209889,4627164,"Commentary","L"
"37","UCqlYzSgsh5jdtWYfVIBoTDw","Fox News Insider","Seed",109377,4413731,"TVNews","R"
"38","UCWXPkK02j6MHW-4xCJzgMuw","Golden State Times","Seed",189251,4355800,"News","R"
"39","UCHd62-u_v4DvJ8TCFtpi4GA","Washington Post","Seed",473298,4305162,"TVNews","L"
"40","UCvixJtaXuNdMPUGdOPcY8Ag","David Pakman Show","Seed",529755,4297005,"Commentary","L"
"41","UCczrL-2b-gYK3l4yDld4XlQ","RT America","Seed",627952,4286309,"TVNews","C"
"42","UC8p1vwvWtl6T73JiExfWs1g","CBS News","Seed",1029259,4074505,"TVNews","L"
"43","UCRPdcY4_Al8TrRtgkMzkrQQ","Tony's - 24/7 Eyes","Seed",63610,3890112,"Commentary","L"
"44","UCvJJ_dzjViJCoLf5uKUTwoA","CNBC","Seed",444293,3815773,"TVNews","L"
"45","UCpiCH7qvGVlzMOqy3dncA5Q","The Thinkery","Seed",302778,3743443,"Commentary","R"
"46","UC2nQYGjfe9I_tgWpqgJorUg","SGTreport","Seed",443596,3712492,"Commentary","R"
"47","UCzuqE7-t13O4NIDYJfakrhw","Democracy Now!","Seed",429106,3377547,"Commentary","L"
"48","UCittVh8imKanO_5KohzDbpg","Paul Joseph Watson","Seed",1423488,3374326,"Commentary","R"
"49","UCtZIK88xkeTXf49BgVXs0HA","Trump Fan Network","Seed",128928,3227926,"Commentary","R"
"50","UC18vz5hUUqxbGvym9ghtX_w","Full Frontal with Samantha Bee","Seed",883107,2729407,"TVCommentary","L"
"51","UCEE8w-v6Gg4j3ze3oX-urEw","Project Veritas Action","Seed",163676,2622265,"Commentary","R"
"52","UCIZBXVGIJoJMXf8giib0IiQ","James Allsup","Seed",358078,2513101,"Commentary","R"
"53","UCK70NBiy-dXseWDTfWDIVlQ","Connors Conquest","Seed",53338,2294268,"Commentary","R"
"54","UCKgJEs_v0JB-6jWb8lIy9Xw","TheBlaze","Seed",170253,2280288,"Commentary","R"
"55","UCod8IyoN-ua9gDxlDpoEklQ","kytekuttertv","Seed",33844,2274624,"News","R"
"56","UCG749Dj4V2fKa143f8sE60Q","Tim Pool","Seed",227958,2272815,"Commentary","PL"
"57","UCrp_UI8XtuYfpiqluWLD7Lw","CNBC Television","Seed",49789,2264171,"TVNews","L"
"58","UCC3L8QaxqEGUiBC252GHy3w","Stefan Molyneux","Seed",871299,2232464,"Commentary","R"
"59","UCJdKr0Bgd_5saZYqLCa9mng","The Rubin Report","Seed",860786,2143033,"Commentary","R"
"60","UCZNk7Jjb2t8EuBdgn4Zj1cw","No Bullshit","Seed",485948,2105274,"Commentary","R"
